goal;sdt-cluster;title;description;gpt_sector;gpt_sector_reason;source;label_manual
I would like to be playful, carefree, lighthearted, enjoying life.;autonomy;"Central Coast Hospice Volunteers Needed - Santa Barbara County
          
          


Save to Favorites";Thank you for your interest in learning about how to support those dealing with end-of-life concerns.We are currently accepting applicants for hospice volunteers in the Santa Barbara area. Volunteer Training is virtual so you can learn from home! There will be one day of in person training as a wrap up for online education provided. There is no charge for the class and hospice will provide snacks and lunch as well as a binder full of training materials. The in-person training will be held at the Central Coast Hospice Santa Barbara office on upper State Street.Some of the training topics include: History and Mission of Hospice, Medical Concerns of Patients, Family Dynamics and Communication Skills, Role of the Hospice Spiritual Counselor, Medical Social Worker and Bereavement Counselor, and Volunteer Guidelines/Practices. A binder of teaching materials and a workbook are included. After the training, fingerprinting and TB tests will be required. There is no cost for this training.A hospice volunteer typically provides 2-4 hours a week of companionship, emotional and practical support, or respite care to the patients and families that Central Coast Hospice (CCH) serves. Volunteers are a vital part of the hospice team as they can provide the time and attention that patients and families need and deserve. CCH serves patients from Paso Robles to Santa Barbara. Volunteers help the same patient each week and we do our best to match volunteers to patients that live near them.We hope you can join our team! An application and an informal interview are required. If you have questions, please contact us at 805-540-6020 and ask to speak with the Volunteer Coordinator. You may also email info@cchh08.com for more information.;Soziales und Gesundheit;Hospizdienste für End-of-Life-Betreuung.;VM;0.0
I would like to be happy and content.;autonomy;"You Will Make a Huge Impact!  Social Media Help & Direction Needed for a Small Non-Profit
          
          


Save to Favorites";Hello there!You can have a huge impact for us!! Would you like to help a small non-profit reach more people through your social media expertise??  We would be so grateful for your help!  We have a YouTube channel and a small Facebook and Twritter presence, but we need to reach more people and dont know how.We would love even just a few hours of advise and counsel, but of course would welcome a lot more than that!  Whatever you have to offer.We are in the process of redoing our website and hope it iwll be done next month.  The old sad website is:  www.Neelam.orgThank you!Warmly,Dr. Jennifer Simon;Soziales und Gesundheit;Non-Profit Organisation;VM;1.0
I would like to have flexibility of viewpoint.;autonomy;meals on wheels driver/runner;"the meals on wheels driver/runner delivers nutritious meals to people living at home who are unable to prepare their own meals, and/or picks up meals from the providers and brings them to our distribution site in georgetown/acton. you can complete the route independently, or bring a friend and volunteer together! 
volunteers will use their own vehicle, pick up the route list, physically carry meal bags, use sanitation practices, return meal bags to office, report any unusual client conditions or concerns to coordinator! volunteers are expected to maintain calmness in an emergency, assist in a crisis and follow the links2care code of conduct, client confidentialty and human rights act, while maintaining a safe and healthy work environment.";Soziales und Gesundheit;Essenslieferung an bedürftige Personen;VC;1.0
I would like to listen to others.;autonomy;frozen meal pick-up and delivery driver;"are you ready to make a difference in your community? join us as a volunteer driver and help bring joy to those in need!
what you'll do:

    pick up: collect frozen meal orders in calgary.

    deliver: bring these meals to grateful community members in strathmore every second 
    tuesday morning.

    connect: brighten someone's day with a friendly interaction and a much-needed meal.

for more information please contact fcss at 403-934-9090";Soziales und Gesundheit;Essensauslieferung an Bedürftige;VC;0.0
I would like to make others happy or to please others.;autonomy;"Event VOLUNTEER | Walk For A Cure Sherwood Pines| Sunday 14 July 2024
          
          


Save to Favorites";Are you looking for a new volunteering opportunity? Volunteering with Alzheimer's Research UK is a great way to enhance your CV, meet new people and gain a new experience whilst supporting our mission to find a cure for dementia.Join us at Walk For A Cure Sherwood Pines as an event volunteer. Walk For A Cure is a series of six 5km fundraising walks across the UK, bringing together everyone impacted by dementia as Alzheimer’s Research UK strive to make a lasting difference for future generations.Alzheimer’s Research UK need your support to make these events happen. Would you like to be a key part of the team on event day?We are looking for volunteers to help create a fantastic atmosphere at our event village, to ensure the smooth running of the event and to create an unforgettable experience for everyone involved.What: Walk For A Cure Event volunteerHow: Roles include Greeters, Start/Finish Line Marshals, Event Village Helpers, Route Marshals & Photographers.Who: All volunteers must be 18+.When: Sunday 14th July 2024 9am-2pm.Where: Sherwood Pines, NottinghamshireTo find out more and register to volunteer please visit: https://www.alzheimersresearchuk.org/how-you-can-help/volunteering/walk-for-a-cure/Alzheimer's Research UK will reimburse reasonable out of pocket expenses such as travel, within agreed guidelines.Being an Event volunteer at Walk For A Cure is a great opportunity to:Volunteer alongside your friends and family at a fantastic new event.Give back to your local community.Meet new people, who may have similar experiences to you.Gain experience of charity events management.Contribute volunteering hours to your course or studies.Build confidence by volunteering in a team with thirty other volunteers.Support a cause that is relevant to you - one in two people know someone affected by dementia.Become part of the Alzheimer’s Research UK volunteering community, with other opportunities available to you.Encourage your friends and family to come too!If you have any questions about this opportunity, please get in touch. Email: Volunteer@alzheimersresearchuk.org or telephone 0300 111 5555.;Soziales und Gesundheit;Unterstützung bei Demenzforschung;VM;1.0
I would like to set good examples for others.;autonomy;"Flexible and virtual - help us survey our seniors!
          
          


Save to Favorites";JASA is the go to non-profit serving over 40,000 older New Yorkers and their families annually. JASA's Senior Community Connections program conducts a biannual client satisfaction survey and we need your help calling clients and conducting a short survey. We are hoping to survey 50 clients by July 1st.JASA's Senior Community Connections staff offer comprehensive assessment, service planning, connection to assistance, benefits and entitlements, and other relevant interventions. Our interdisciplinary team of social workers, registered nurses, case assistants, and a pastoral counselor work together to help older adults with a client-centered plan of care, enabling them to continue living full and independent lives within their communities.Some of the services provided through the Senior Community Connection Project are:Comprehensive assessment including an in-home or in-office visit, conducted by a Social Worker and/or Registered NurseHealth assessments and support by a Registered NurseReferrals regarding legal mattersCounseling with a Pastoral Counselor to support emotional and spiritual well-beingAdvocacy to help secure all available community servicesDetermining eligibility and assisting in securing benefits and entitlements, including food stamps, Medicaid, Senior Citizen Rent Increase Exemption (SCRIE), Supplemental Security Income (SSI), Access A Ride, and others.Services are provided in the Bronx, Brooklyn, Manhattan, and Queens.;Soziales und Gesundheit;Seniorenbetreuung und Umfragen;VM;1.0
I would like to be honest.;autonomy;volunteer drivers - various positions;"wfcss:
fcss is a preventative program designed to alleviate the stress of albertans who need casual support and assistance from the government of alberta. 
wfcss is looking for volunteers to deliver meals on wheels orders and food bank hampers to clients throughout wheatland county. 

not able to lift boxes? many rural residents miss healthcare appointments due to lack of transportation. with helping these clients get to and from their appointments you would be assisting them get to crucial medical appointments safely. 

this would be a great way to get out of the house, meet your neighbors, provide residents with the care and healthy food they need. 

delivery schedules are flexible and you can volunteer a lot or very seldom, there is no predetermined commitment. a qualified volunteer must have your own vehicle with valid insurance and the ability to lift up to 50lbs. monetary reimbursement is available to cover the cost of fuel. 

for more information please call wfcss 403-934-5335";Soziales und Gesundheit;Transport von Lebensmitteln und Personen;VC;0.0
I would like to be unique or different.;autonomy;thrift store volunteer burlington;active volunteer position in a non-profit thrift store. may include sorting and pricing of donations. or creatively placing merchandise on the racks and shelves. opportunity to interact with customers. cashiers also needed. exciting season of moving store from a 1200 sq. ft. facility into a 18,000 sq. ft. facility! lots of work! lots of creativity! many volunteers needed!;Soziales und Gesundheit;Unterstützung gemeinnütziger Organisationen;VC;1.0
I would like to live for today.;autonomy;Volunteering in a Youth Center in Riga;"Activity description
        Young Folks LV, a youth non-governmental organization from Riga, would like to host three volunteers with the main aim of strengthening and promoting social inclusion and European integration within the organization, local community, and also on a national level by facing various local challenges - developing a proactive youth community both at Young Folks, local community and in Latvia. With the help of foreign volunteers, the youngsters in the Latvian community will be able to learn about solidarity, and democracy, be more unified, and as well gain new competencies for personal, educational, social, cultural and professional development and in general more involved in proactive activities locally.
In the project, we are preferably looking for volunteers from any European country to work in the following fields:
-marketer, copywriter, SMM
-youth worker, working with teenagers and young adults
-office manager                    Accommodation, food and transport arrangements
        The volunteers will share the apartment specially rented for them in Riga city center, near to Young Folks office. Each volunteer will have his/her own room, but they will have a common kitchen and bathroom. The flat will be safe, clean, and fully equipped. The apartment will be located in the city center with good connections to shops and transport.
The money envisaged for food and pocket money will be provided monthly in cash.
                          Participant profile
        We encourage the participation of everyone, especially young people with fewer opportunities (e.g. economic obstacles, cultural differences, educational difficulties), in our project. That is why this project is open to everyone and any person from 18 to 30 years old can propose his/her candidature. There is no strict criteria in volunteer selection, but we will take into consideration motivation, wish to exchange (ideas,
knowledge, energy etc.) and build together of candidates. We are seeking for someone, who speaks English and has a slight knowledge of Russian in order of easier integration";Soziales und Gesundheit;Jugendarbeit und soziale Integration;EU;0.0
I would like to feel good about myself.;autonomy;education and outreach coordinator - elderdog canada - calgary;"elderdog canada is a 100% volunteer-run, national charity dedicated to ageing people and
ageing dogs. we help older adults with the care of their dogs so that they can stay together as long as possible. we rehome older dogs who lose their senior companions and we provide education and community outreach about elderdog’s work and the importance of dogs in seniors’ lives.

each pawd holds a number of events each year to raise awareness of elderdog, to educate
about the important connection between dogs and seniors, and to raise funds to support
elderdog’s work. these could include: larger events such as an annual elderdog walk,
seasonal fair, yard sale, or facebook auctions; or smaller events such as information tables at local markets and sponsored events or raffles. events and outreach coordinators are often called on to speak about elderdog to interested groups.

responsibilities (mentoring and ongoing support provided)

as education and outreach coordinator you would:
- work in collaboration with the pawd executive to generate ideas for outreach events;
- develop a one-three year plan of events and outreach activities;
- work with the volunteer coordinator to identify and engage volunteers interested in
education and outreach activities;
- coordinate event planning and individual outreach events following elderdog’s guidelines;
- work closely with pawd leader and communications coordinator to promote events and
with treasurer for events that involve financial matters;
- participate in events and outreach coordinator meetings hosted by national office.

requirements
- strong interpersonal skills;
- willingness to reach out in the community to build relationships and partnerships;
- ability to generate creative ideas about events and outreach;
- ability to engage others and work collaboratively.

for more information, contact national office at info@elderdog.ca.";Soziales und Gesundheit;Unterstützung älterer Menschen und Tiere;VC;1.0
I would like to have other people trust me.;autonomy;"Sex Ed Volunteer
          
          


Save to Favorites";Masakhane Center is searching for volunteers to join us this summer! Masakhane is a youth-driven organization providing community-based sexuality education in and around Newark, NJ. Masakhane’s anti-racist, pro-queer & pro-trans approach to sex-positive programming seeks to promote sexual liberation, including the right to pleasure, for marginalized communities. We are in need of your help to make this happen!Our volunteers help us with three different things, and we encourage you to tell us which you are most interested in:Creating content for and posting on our social media, particularly InstagramUpdating our resource guide for youth-friendly services in the Newark, NJ areaCreating paper handouts and resource sheets to support our in-person programs Volunteers can be expected to meet once a month virtually (Zoom) on the second Sunday of the month for 2.5 hours. These live collaboration sessions are led by our volunteer coordinator and are a space for you to meet fellow volunteers, play some sex ed games, and start working on your volunteer projects. You will be expected to continue working your project on your own time and report out at the following session. This volunteer program is completely remote, so you’re welcome to join us from anywhere! We will be meeting from 12-2:30 pm EST.Volunteers receive training in sex ed topics at our orientation and the following Zoom meetings. Additional - and optional - occasional opportunities may arise for you to come in-person to help out with tabling, flyering, or in-person MC events.Volunteers may be any age 16 and up. This is not a paid / stipend position.APPLICATIONSIf this sounds like your jam,  apply today!Application deadline: Friday, June 21st.After you apply, you will be invited to an interview between June 28th - July 2nd.Our first meeting/orientation is on July 14. We can’t wait to meet you!;Soziales und Gesundheit;Sexualerziehung für marginalisierte Gemeinschaften.;VM;1.0
I would like to explore, be adventurous.;autonomy;technology accessibility program volunteer [tap];"are you passionate about empowering older adults with skills to access all the digital world can offer? are you eager to make an impact on their lives by teaching them how to leverage technology to increase their social connections? do you feel they should have equal access to services and information currently only available online? if so, we invite you to join our team of dedicated volunteers for our technology accessibility program (tap)!

tap is an exciting initiative aimed at empowering older adults to enhance their social connections and access to information and services through technology. as a volunteer for tap, you'll have the opportunity to directly impact the lives of older adults by helping them navigate the digital world with confidence and ease. here's what you can expect as a volunteer for tap:

personalized training sessions: 
you'll work one-on-one with older adults in the comfort of their own homes, providing personalized training sessions tailored to their specific needs and interests. whether it's teaching them how to use a tablet, navigate the internet, or engage on social media, you'll be there every step of the way to offer guidance and support.  all the curriculum modules volunteers are provided with have been written and customized using age friendly best practices.  the modules include learning tablet basics, internet, email, messaging, zoom, facebook, youtube, online safety, and games. the modules they choose to cover is entirely up to the client. we also loan out tablets and data to clients without access to a device for the duration of the program free of charge. 

flexible schedule: 
we understand that everyone has busy lives, which is why we offer flexibility in our program. this is a unique opportunity for short term volunteering.  most clients will complete the program in 2-4 months doing a 1–2-hour training session each week.  whether you can volunteer with one client for 2-4 months or would like to continue volunteering with a new client in the program is entirely up to you! the day of the week and time of day is also flexible.  as long as it works with you and the client it works for us.

meaningful connections: 
by volunteering for tap, you'll have the opportunity to build meaningful connections with older adults in your community. you'll not only be helping them learn new skills, but you'll also be providing them with companionship and support.

training and support: 
don't worry if you're not a tech expert – we'll provide you with all the training and support you need to succeed as a volunteer for tap. from learning how to effectively communicate with older adults to mastering the basics of technology instruction, we'll equip you with the skills and knowledge necessary to make a difference.

free of charge: 
thanks to the generous support of the ontario trillium foundation, our program is entirely free of charge for both volunteers and participants. this means you can volunteer your time knowing that you're making a difference without any financial burden.

join us in bridging the digital divide and empowering older adults to stay connected with their loved ones and their community. become a volunteer for tap today and make a difference in the lives of older adults in your area!";Soziales und Gesundheit;Empowerment älterer Erwachsener durch Technologie;VC;1.0
I would like to work toward the SDG;autonomy;"Social Media Coordinator
          
          


Save to Favorites";Join the Butterfly Collective Inc.'s team as a Social Media Coordinator!Location: We are located in Clarksville, TN. We are open to remote candidates but prefer local candidates. Type: Part-Time (as needed)About Us:It has been said something as small as the flutter of a butterfly’s wings can cause a hurricane on the other side of the world. The Butterfly Collective is a village of women providing a safe space for young girls, or butterflies as they prepare and learn to spread their wings and fly.  This Coaching Program is uniquely designed to support high school aged girls as they tackle day to day life and prepare to fly in today’s society. The Kaleidoscope of butterflies participate in a 9 month journey of grade specific activities, group sessions and events aimed to boost confidence, build self esteem, and develop life skills. Each butterfly is paired with a coach who provides emotional support and guidance along their transformation and journey.Position Overview:We are seeking a passionate and creative Social Media Coordinator to join our team. The ideal candidate will have a strong understanding of social media platforms and trends, exceptional writing skills, and a keen eye for visual content. This role is crucial in helping us maintain a consistent online presence, engage with our community, and amplify our message. Our current platforms include Facebook, and Instagram, but we are always looking to expand. Key Responsibilities:- Develop, implement, and manage our social media strategy across various platforms.- Create, curate, and schedule engaging content (text, images, videos, and infographics) to increase social media presence and enhance audience engagement.- Monitor and respond to social media interactions, fostering a sense of community and managing our online reputation.- Track, analyze, and report on social media performance metrics, using insights to optimize content and strategy.- Stay up-to-date with the latest social media trends, tools, and best practices to ensure our platforms remain relevant and effective.- Collaborate with other team members to align social media content with overall marketing campaigns and organizational goals.- Assist in planning and promoting events, fundraising campaigns, and other initiatives via social media.- Manage social media advertising campaigns, including budget allocation, targeting, and performance analysis.Qualifications:- Proven experience as a Social Media Coordinator or similar role, preferably within the non-profit sector.- Strong understanding of social media platforms, analytics tools, and content creation software.- Excellent written and verbal communication skills, with a knack for storytelling.- Ability to create visually appealing content (experience with graphic design tools like Canva, Adobe Creative Suite, or similar is a plus).- Strong organizational skills, attention to detail, and the ability to manage multiple projects simultaneously.- Creative mindset with the ability to adapt to changing trends and technologies.- Passion for our mission and a genuine interest in making a difference.Equal Opportunity Statement:The Butterfly Collective Inc. is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.Join us in amplifying our voice and making a real impact through the power of social media!;Soziales und Gesundheit;Non-Profit-Sektor;VM;0.0
I would like to see a world at peace.;autonomy;"""Inclusion for all"" in Atzavara Arrels";"Activity description
        Atzavara-arrels is a non-profit association created in 2000 in Tortosa on the initiative of people from different backgrounds and professional fields with the aim of contributing to make Tortosa a fairer and more supportive city and to promote equal opportunities in a plural and diverse society.The main objectives are social inclusion and promote the values of diversity, respect and solidarity among people, dialogue, critical reflection and knowledge, the defense of human rights, equal opportunities and the respect for difference.More specifically, the volunteer will organize workshops together with the coordinator f, contributing and/or creating other workshops that s/he finds interesting for the children. He will organize linguistic and cultural workshops to facilitate the knowledge of the and support the language teachers.
INFOPACK: https://bit.ly/3OPJmQt                    Accommodation, food and transport arrangements
        The volunteers will be living in a house in the countryside and sharing a room (4-6 persons per room)
Common spaces (dining room, kitchen, bathroom, open areas) have to be shared.
Pocket money: The volunteers will receive pocket money each month: 5 euros per day.
Food: the volunteer will be cooking in groups, the food will be supplied by the coordinating organization + a basket of ecological and seasonal vegetables from our insertion company. 
Transport: if necessary, the volunteer will be offered a second-hand bike. Volunteers can go walking to the project or go by bike.                    Training during the activity
        - The first week the volunteers will have a ""welcome week""
- On arrival and mid-term training provided by the Spanish National Agency
- Cultural presentation during the first months of volunteering.
- Catalan language course
- Activities of knowledge of the territory
- Workshops on ecological agriculture and sustainable cooking
- Complementary training and activities during the project will be organized.
                    Participant profile
        Person free of prejudice, dynamic, open to meet people from different cultures, motivated to learn and teach, open-minded, with self initiative and interest in social and educational issues, and working with young people from different cultures.
No minimum training is required, but the motivational orientation will be positively valued. In the specific case of Atzavara-Arrels, it is a complementary factor that the person has training, experience or special interest in caring for groups at risk of social exclusion, especially young people.A basic level of Spanish is required.";Soziales und Gesundheit;Social inclusion, diversity, education;EU;1.0
I would like to engage in activities which are close to where I live;autonomy;Volunteering in a Youth Center in Riga;"Activity description
        Young Folks LV, a youth non-governmental organization from Riga, would like to host three volunteers with the main aim of strengthening and promoting social inclusion and European integration within the organization, local community, and also on a national level by facing various local challenges - developing a proactive youth community both at Young Folks, local community and in Latvia. With the help of foreign volunteers, the youngsters in the Latvian community will be able to learn about solidarity, and democracy, be more unified, and as well gain new competencies for personal, educational, social, cultural and professional development and in general more involved in proactive activities locally.
In the project, we are preferably looking for volunteers from any European country to work in the following fields:
-marketer, copywriter, SMM
-youth worker, working with teenagers and young adults
-office manager                    Accommodation, food and transport arrangements
        The volunteers will share the apartment specially rented for them in Riga city center, near to Young Folks office. Each volunteer will have his/her own room, but they will have a common kitchen and bathroom. The flat will be safe, clean, and fully equipped. The apartment will be located in the city center with good connections to shops and transport.
The money envisaged for food and pocket money will be provided monthly in cash.
                          Participant profile
        We encourage the participation of everyone, especially young people with fewer opportunities (e.g. economic obstacles, cultural differences, educational difficulties), in our project. That is why this project is open to everyone and any person from 18 to 30 years old can propose his/her candidature. There is no strict criteria in volunteer selection, but we will take into consideration motivation, wish to exchange (ideas,
knowledge, energy etc.) and build together of candidates. We are seeking for someone, who speaks English and has a slight knowledge of Russian in order of easier integration";Soziales und Gesundheit;Jugendarbeit und soziale Integration;EU;0.0
I would like to achieve harmony and oneness (with self and the universe).;autonomy;"Can you sew? We need your help!
          
          


Save to Favorites";Our Memory Bear Program is designed to preserve the memory of our families loved ones by handcrafting a stuffed bear to provide comfort in their time of sorrow.  Created from the fabric of the families loved one's belongings, such as their favorite clothing or blankets, these precious bears are hand-sewn with love by our hospice volunteer crafters. Memory bears help keep the essence of  the loved one close to their heart.  Each bear is unique and tells a tangible story within itself. We need volunteer crafters who can sew these remarkable bears with commitment, care, and dedication. We will usually try to quote the patients family at least a 2-6 month timeframe, depending on the volunteers suggestion. Please reach out to us if you are interested in teaming up with Medi-Home Hospice and our families to make an impact that will last forever!;Soziales und Gesundheit;Handwerkliche Arbeit, Nähen;VM;0.0
I would like to volunteer for 1 h each week;autonomy;Senior-Buddy: Kaffee trinken gegen Alterseinsamkeit;Alterseinsamkeit belastet viele Bürger:innen und führt zu einem regelrechten Ausschluss aus der Gesellschaft. Gerade in einer digitalisierten Welt wie unserer haben ältere Personen oft im Alltag aufgrund eines fehlenden Verständnisses für Technik Probleme und werden ausgeschlossen. Wir möchten denen, die unseren Wohlstand aufgebaut haben, danken und unterstützen und die ältere Generation wieder in die Gesellschaft integrieren. Du kannst auch einen Teil dazu beitragen, indem du regelmäßig mit älteren Menschen einen Kaffee trinkst, Fragen beantwortest, zuhörst oder von deinem Leben erzählst! P.S: Meistens gibt es selbstgebackenen Kuchen :);Soziales und Gesundheit;;SELF;1.0
I would like to be selfless, to put others first.;autonomy;ESC in Francia: Ristrutturazione di case e aiuto sociale;"Activity description
        Stranaidea, ente di invio italiano, propone per l’ente ospitante Companions Batisseurs questo progetto:  
La nostra organizzazione mira a migliorare l’inclusione sociale delle persone con scarse risorse economiche, con un focus specifico sull’edilizia abitativa. Aiutiamo le persone a migliorare le loro condizioni di vita a casa e offriamo supporto sociale generale quando necessario. I nostri volontari ci aiutano a implementare la nostra azione sull'edilizia abitativa. I volontari andranno nelle case delle persone che aiutiamo e lavoreranno con i nostri referenti tecnici professionisti per eseguire alcuni lavori di ristrutturazione: tinteggiatura, cambio della carta da parati, lavori idraulici, elettricità, ecc. Realizzeranno anche laboratori pensati per aiutare le persone a migliorare le loro condizioni di vita. Il nostro approccio si basa sull’educazione non formale e le attività sono progettate per favorire la partecipazione delle persone che aiutiamo e responsabilizziamo.                    Accommodation, food and transport arrangements
        I volontari sono ospitati in una casa o in un appartamento con diversi altri volontari internazionali. Ogni volontario ESC riceve un assegno mensile di 556 euro per le spese alimentari e il pocket money. È fornito il trasporto locale. Per i trasporti internazionali, i volontari ricevono un importo (definito dalla Commissione Europea) che varia in base alla distanza tra il luogo di accoglienza in Francia e il luogo di residenza nel Paese di origine.                    Training during the activity
        Quotidianamente i volontari sono sempre affiancati da tecnici professionisti. Hanno anche un referente regionale che si occupa di tutti gli altri aspetti della vita del volontario. Il nostro movimento nazionale organizza incontri di volontari 3 volte l’anno, oltre ai seminari di arrivo e di medio termine dell’agenzia nazionale Erasmus+.                    Participant profile
        Il progetto è aperto a chiunque desideri conoscere il lavoro manuale e il supporto sociale. Non ci aspettiamo che i volontari abbiano precedenti esperienze. Ciò che ci aspettiamo dai nostri volontari è: - avere una buona comprensione del nostro approccio - essere motivati a prendere parte ad attività di lavoro manuale - essere in grado di interagire con persone di diversa estrazione. Maggiori informazioni : https://fr-fr.facebook.com/assnatcb/ https://www.compagnonsbatisseurs.eu/ https://www.youtube.com/watch?v=Iq1R3l8_zsU 
https://www.youtube.com/watch?v=r8jDe5sEq_U&t=50s";Soziales und Gesundheit;Soziale Inklusion und Wohnungsrenovierung.;EU;1.0
I would like to grow spiritually.;autonomy;Support in Special Education Centre;"Activity description
        Amicos.org offers the opportunity of being involved in the special education school for children with intellectual disabilities, aged 3-21. The school develops a project for increasing awareness on youth about the support that these children require for having a better neurological and physical development, and for achieving the habilities, skills and knowledge that will bring them opportunities in life. The school has a very important presence in colaborative activities with other entities and schools, looking for social integration of children with peers. We offer the opportunity of joining to: - Help the technical staff in design and implementation of these activities; - Acompanying the participants in the activities of the center; - Facilitating the understanding of the instructions given to users; - To suggest ideas of activities and practices to integrate in the center; - To develop environmental awareness activities.                    Accommodation, food and transport arrangements
        Acommodation Amicos offer an apartment with all required services for comfortable living in a single room. The apartment shall be shared with flatmates depending on the arrival of other volunteers simultaneously. Meals The school supplies with daily meal service from Monday to Friday at lunch time. Besides, volunteers will receive pocket money for their own expenses. Transport We also provide daily transportation from the apartment to the school, and back, on the routinary van journeys that the school provides to students.                     Training during the activity
        Amicos staff is integrated by experienced specialists who will provide insights in learning methodologies for support and assistance of students with special needs. We will provide a “Welcoming Training” to introduce our work standards, the tutor, school methodology and facilities...The Spanish National Agency will be responsible of the On Arrival Training and the Mid-term Evaluations. Besides, volunteers will have online Spanish lessons by registering in the Online Linguistics Support platform (OLS).
                    Participant profile
        We are looking for a proactive, commited and open-minded participant with a genuine interest and sensibility in working with people with disabilities on leisure, cultural and sustainable activities. A basic level of Spanish is required to be able to communicate with the staff and the students. If you are available and interested in applying, please send your CV and a Motivation Letter to esc@amicos.org.";Soziales und Gesundheit;Supporting children with disabilities;EU;0.0
I would like to be curious.;autonomy;"Listening Volunteer
          
          


Save to Favorites";The Listening Place is a volunteer-led charity aiming to transform how we support people who feel suicidal. Our trained volunteers are part of a team delivering face-to-face, confidential, ongoing support to thousands of people each year. They help create the warm and welcoming environment that encourages people struggling with suicidal thoughts and feelings to talk openly without being judged or given advice.Listening volunteers provide ongoing face-to-face support to visitors on regular, fortnightly 4-hour shifts during which they meet with up to 3 visitors (for up to 50 minutes each). No experience or qualifications are necessary. We look for warmth, empathy and resilience in our volunteers and the ability to be non-judgemental and avoid giving advice.;Soziales und Gesundheit;Suizidprävention und Beratung;VM;1.0
I would like to be appreciated by others;autonomy;thrift store donations receiver;frontline volunteer position that interacts directly with our donors. receive and sort donations as soon as they arrive. greet and thank the donors with a smile reminding them what a difference their donation will make in the lives of others.;Soziales und Gesundheit;Interaktion mit Spendern;VC;1.0
I would like to achieve salvation.;autonomy;board of directors (finance);"we are seeking board members, especially those with rich experience in finance to help us achieve our vision of making adp services available to anyone who needs them to age in place or at home. ask is a registered charity that provides adult day programs (adps) in vancouver to seniors who are isolated and/or coping with chronic medical challenges. we provide virtual and out-of-home activities, programs, and social engagement as well as basic medical care that enables seniors to continue to live in their own homes and that provides respite to their caregivers.

members of our volunteer board of directors attend meetings to administer the affairs and policies of the society. a board director’s term is 2 years renewable to a maximum of 3 terms. we are currently looking to fill the secretary role on our executive committee.

what we value especially is flexibility and enthusiasm. we also value your expertise and knowledge in finance! we particularly welcome individuals with experience in caring for seniors or understand the needs of the senior population to apply for consideration. all ages welcome! our current board directors come from a variety of professional backgrounds. let us know what your talents are — you may be perfect for our board!

would you be interested in learning more about our plans and how you might be able to help? please check out more about us and our strategic plan on our website www.askcentre.ca

please contact youngmin (volunteers@askcentre.ca, 604 263-7333) if interested.

we require all of our volunteers to be fully vaccinated. thank you.";Soziales und Gesundheit;Betreuung von pflegebedürftigen Personen;VC;0.0
I would like to have empathy for what others are feeling.;autonomy;marlborough youth program volunteers;"based out of the marlborough community impact centre the volunteer team will facilitate youth programming for the community. the program will run weekly in the afternoons and will include off-site adventures, games, sports, movie evenings and more.

we are looking to fill the following shifts:

drop-in youth volunteers
the drop-in youth program welcomes participants in grades 6 to 12. the volunteer will support the team by running the check-in desk and attendance list, following the pick-up/drop-off protocols, and assisting the program facilitators. 
the shifts are on wednesdays from 3:45pm - 6:00pm

rock the nation volunteers
rock the nation is a youth empowerment program for participants in grades 6 to 9. the volunteers along with the coordinator will plan and facilitate indoor and outdoor activities. throughout the summer (as long as the weather permits) the programming will include various sports activities off-site. we are looking for outgoing individuals who are comfortable with youth and program facilitation.
the shifts are on thursdays from 6:45pm - 9:15pm

from our volunteers, we ask for a commitment of one shift per week for a minimum of 4 months.";Soziales und Gesundheit;Jugendprogramm und Freizeitaktivitäten;VC;0.0
I would like to help others.;autonomy;"Vice President VP
          
          


Save to Favorites";Job Title: Volunteer Vice President (Unpaid) - Nonprofit Leadership RoleIntroduction: Are you passionate about making a meaningful impact in the fight against addiction? Do you aspire to lead a nonprofit organization and gain invaluable leadership experience? This role is a unique opportunity to shape the future of Mothers Against Addiction, a rapidly growing national nonprofit. As the Volunteer Vice President, you will work closely with the Interim CEO and compete for the CEO position by the end of the year. This experience will be a standout addition to your resume, especially if you're pursuing an MBA or aiming to serve on corporate boards. You'll be at the forefront of building and structuring the charity from the ground up, leading a new team, and driving impactful initiatives.Job Description: Mothers Against Addiction is seeking a dedicated Volunteer Vice President to assist in leading our organization through an exciting period of growth and restructuring. This is an unpaid volunteer position, ideal for individuals passionate about making a significant impact in the fight against addiction and eager to gain valuable leadership experience.Responsibilities:Assist the Interim CEO in strategic planning and organizational leadership.Prepare to transition into the CEO role by the end of the year, competing with the COO and CMO for the position.Oversee various departments to ensure alignment with the organization's mission.Support the development and implementation of programs and initiatives.Represent the organization at events and meetings.Build and manage a new team, ensuring effective collaboration and performance.Work closely with the board to develop and execute strategic plans.Qualifications:Strong leadership and organizational skills.Proficiency in Google Docs, Sheets, or Microsoft Office (or equivalent software).Experience in nonprofit management or related fields.Passion for supporting families and individuals affected by addiction.Currently pursuing or holding an MBA or degree in business, or experience in board service.Interest in eventually serving as CEO for a two-year term before transitioning to a board position.Ideal Candidate:Someone who wants to learn about building and structuring a company from the ground up.An individual eager to gain experience working with boards and leading a nonprofit.College students or recent graduates seeking hands-on experience in leadership, nonprofit management, and organizational development.Individuals with board experience who want to grow further or who are passionate about helping others.This position offers a unique opportunity to build a resume with substantial leadership experience and make a meaningful difference in the fight against addiction.;Soziales und Gesundheit;Kampf gegen Sucht;VM;1.0
